3947.9585N 08407.6395W 0.000 1.000 FOUND 55019c 425 239
3947.9698N 08407.6206W 2.000 51.000 FOUND 24fbe4 121 445
3947.9698N 08407.6206W 2.000 64.000 FOUND 524bb8 262 467
3947.9698N 08407.6206W 3.000 75.000 FOUND 2069f3 752 0
3947.9698N 08407.6206W 3.000 82.000 FOUND f6d0de 275 254
3947.9698N 08407.6206W 3.000 83.000 FOUND 18bf0a 90 210
3947.9746N 08407.6128W 4.000 103.000 FOUND 4ff113 783 45
3947.9798N 08407.6046W 5.000 128.000 FOUND 10e3e1 243 346
3947.9798N 08407.6046W 5.000 147.000 FOUND 5952dc 697 0
3947.9852N 08407.5955W 6.000 174.000 FOUND 0d0bfe 212 453
3947.9910N 08407.5859W 7.000 182.000 FOUND 04fcb3 417 314
3948.0031N 08407.5659W 9.000 226.000 FOUND fa4d39 829 76
3948.0031N 08407.5659W 9.000 243.000 FOUND 9c1202 829 78
3948.0095N 08407.5552W 10.000 255.000 FOUND 6f6338 804 58
3948.0095N 08407.5552W 11.000 288.000 FOUND d0b119 801 77
3948.0290N 08407.5219W 12.000 311.000 FOUND ef186b 798 93
3948.0290N 08407.5219W 12.000 316.000 FOUND bdb78a 838 130
3948.0290N 08407.5219W 12.000 317.000 FOUND 0ed655 724 39
3948.0358N 08407.5106W 14.000 353.000 FOUND da8f7e 822 47
3948.0426N 08407.4996W 15.000 377.000 FOUND 8dfabe 795 52
3948.0492N 08407.4885W 16.000 415.000 FOUND 62fa45 245 432
3948.0492N 08407.4885W 16.000 416.000 FOUND d3da1c 276 196
3948.0758N 08407.4441W 19.000 482.000 FOUND e1d1f6 559 407
3948.0892N 08407.4219W 21.000 538.000 FOUND 989b30 271 394
3948.0958N 08407.4108W 24.000 601.000 FOUND cc5d57 801 39
3948.0958N 08407.4108W 24.000 615.000 FOUND c8b089 343 376
3948.0958N 08407.4108W 25.000 630.000 FOUND a09da8 807 16
3948.0958N 08407.4108W 25.000 640.000 FOUND 8d5b5a 0 339
3948.1293N 08407.3549W 28.000 704.000 FOUND f1fcfa 810 55
3948.1357N 08407.3437W 29.000 725.000 FOUND 0f1ddd 837 76
3948.1357N 08407.3437W 29.000 740.000 FOUND f79da1 795 15
3948.1618N 08407.2997W 31.000 776.000 FOUND df2c8d 298 398
3948.1618N 08407.2997W 32.000 803.000 FOUND cb938f 783 23
3948.1618N 08407.2997W 33.000 844.000 FOUND a14fae 592 261
3948.1683N 08407.2886W 35.000 878.000 FOUND abd3f4 837 4
3948.1683N 08407.2886W 38.000 966.000 FOUND 48acec 827 91
3948.2223N 08407.1924W 40.000 1003.000 FOUND 3d73f5 832 21
3948.2223N 08407.1924W 40.000 1020.000 FOUND a48417 483 271
3948.2223N 08407.1924W 42.000 1051.000 FOUND 0964e2 764 388
3948.2223N 08407.1924W 42.000 1063.000 FOUND d5ca82 806 287
3948.2223N 08407.1924W 43.000 1089.000 FOUND 521d8d 808 47
3948.2223N 08407.1924W 44.000 1116.000 FOUND 9218d1 829 344
